outcome_type,lw_raw,n,lw
home_run,1.5327097587324452,11108,1.7802910384723596
triple,0.9855233785822022,1326,1.2331046583221166
double,0.7262278497325858,15519,0.9738091294725001
single,0.43686512512974285,52026,0.6844464048696571
hbp,0.3474760698911117,3949,0.595057349631026
walk,0.3306608756544066,29989,0.5782421553943209
other,-0.053773291925465844,644,0.19380798781444847
out_in_play,-0.2475812797399143,169175,0.0
strikeout,-0.2648045650817727,81751,-0.01722328534185838
