pitcher_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
650496,72,-0.029988996699592083,-0.020434231521447514,-0.02216807883825868,-0.00782091786133341,0.7266231494565104,-0.03761751090896638,-0.003932472006421286,-0.10875640261425763
665625,588,-0.020840788914464354,-0.015224974943065909,-0.016551818783426823,-0.00428897013103753,0.7414015912497973,-0.029694763024505348,-0.004373488017545623,-0.09422813898882414
595881,88,-0.022654537689524027,-0.01503316417004488,-0.016454898443790524,-0.006199639245733505,0.7361374211767854,-0.03098522063881697,-0.0009934621301010557,-0.09415775973112522
622065,263,-0.019256127397562366,-0.013955104657320964,-0.01565124985046006,-0.0036048775471023073,0.7135823999540363,-0.027778272435800215,-0.004815715126319816,-0.09933913472787129
572971,345,-0.022184062358074977,-0.013034026592094005,-0.0146647243838525,-0.007519337974222479,0.6956058018466397,-0.029944360632441814,-0.00421302274419315,-0.09399888183581123
676596,225,-0.015480272980103835,-0.013982776209547453,-0.014578672977476101,-0.0009016000026277345,0.7380582468365999,-0.020406555638679987,-0.004930511066653441,-0.09941196452747626
605177,811,-0.01633482291624073,-0.013708541667320686,-0.014376569690898762,-0.001958253225341968,0.6669458166080043,-0.028962481079130666,-0.00421070080401753,-0.08298617127588866
519008,438,-0.018471231544826484,-0.011083654587654522,-0.013466628931316095,-0.0050046026135103895,0.7435513566989314,-0.02228004936385552,-0.0034214176806570055,-0.11109326040985781
663893,737,-0.016086099357873848,-0.011906476978283698,-0.013320692103175293,-0.002765407254698556,0.7649354022277032,-0.02718089928992053,-0.0068786222114138595,-0.08952318839607618
593974,919,-0.01459588447838645,-0.01140156474105625,-0.012393116254692298,-0.0022027682236941525,0.6573995036079519,-0.02432401466204904,-0.003679515272982752,-0.09375822262153856
661383,62,-0.014567891665727821,-0.011419881736741688,-0.012290009710950015,-0.0022778819547778057,0.6656893948594633,-0.018543170754033098,-0.003420674888887248,-0.10617783662195775
608334,889,-0.01853424162290341,-0.010107019795417602,-0.01163385748805648,-0.00690038413484693,0.6296687459505617,-0.026585530547367123,-0.0034096649683389873,-0.09778661774247407
664285,2849,-0.01585016016388894,-0.009929699793369075,-0.011550851004091223,-0.004299309159797715,0.7162155839907285,-0.022133054635596693,-0.002810551668524644,-0.10485061569902283
663969,778,-0.013858181739945276,-0.009554279089893364,-0.011172200748007568,-0.002685980991937708,0.7125722764781768,-0.019587761680825426,-0.00457902048144221,-0.10203148362751176
681857,1727,-0.017399190234458614,-0.009778383493229788,-0.011102187222728469,-0.006297003011730144,0.6681472995330636,-0.027909554827763593,-0.00365745570601448,-0.09176409642763184
