batter_id,bat_speed_strikes,swing_length_strikes,swing_path_tilt_strikes,vert_attack_angle_strikes,horz_attack_angle_strikes
444482,0.15064919261520804,-0.006162575347455525,0.007393484133525583,-0.10665190465047854,0.06505518544499701
453568,0.08172364765197712,0.015531309416973985,0.010437034152476068,0.017059069568379406,0.009520974662497947
455117,0.06853635415739712,0.03268115848250773,0.0016814383608141294,0.4090058579428062,-0.5258064335096321
456781,0.09213660080181432,0.008605479220190759,0.13953310674187597,-0.2710911999053002,-0.08418718624582523
457705,0.08152505960811383,0.03271683008973139,0.09074917093615306,-0.028834539105001635,-0.3953516752751088
457759,-0.003124609584095801,0.009557465120552071,0.28432631757992033,-0.011850924617862165,-0.004559158501260166
467793,0.07922559024224013,-0.03309630834040533,-0.06751625146060117,-0.2753531951399738,0.42194263014651023
493329,-0.010775415765149156,-0.00029239404764075486,0.06297634683544702,-0.0030675271345704065,-0.22079788105211712
500743,-0.13044795522365857,-0.07598333377628917,0.26261719528094696,-0.8018266701155421,1.1472140360711058
502054,0.0600447761390836,0.001768041247201821,-0.08671412993979795,-0.0001375905316269465,0.4475774217112
502110,0.07621366774452212,0.0013056949918397083,0.0695076508542746,-0.06991125344254664,0.13585056303656148
502671,-0.04953139822938136,-0.05129767196196225,-0.013182767877507537,-0.18204566082613613,0.3388872250053263
514888,-0.24081923003316713,-0.009575610158302059,0.07129062329146435,-0.3672175334180999,0.8345216406807713
516782,0.1054662822675367,0.01068638555468085,-0.24256015650401655,0.10831961044691976,0.15503186405535221
518595,-0.062476639433502734,-0.01876545132159058,-0.2628417788915198,-0.17440961281040412,0.1466383929907389
518692,0.03265860038839919,0.015537594193198813,-0.11755031066038443,0.45401198401301196,-0.1820599412663186
518735,0.011588995920429784,-0.02419125053709522,0.0654381257008435,-0.523815424937841,0.3087566925091948
518792,0.08730503909079568,0.014959911284721614,0.004987032872202319,0.03638184538103345,-0.09296612394368757
518934,0.09167259759833553,0.01451056736637946,0.09704738999715613,-0.07322078665985171,0.08700242527207887
519203,-0.040131463195095744,-0.017916776477195504,-0.013451747308967964,-0.17879006980142417,0.08214913161399878
519317,-0.05156464186032057,0.03580436477650953,-0.08708098083083339,0.7347476863317532,-0.39844900947743733
521692,0.20304777773824567,0.031180772157892174,0.19113213269660093,0.15331906388871366,-0.39708940441119267
527038,-0.10548558126559342,-0.03894270491911531,0.15768132366983356,-0.41675946948888787,0.12668336636904642
