batter_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
683748,70,-0.01633419761139907,-0.01285697567859323,-0.014602555533763623,-0.0017316420776354448,0.8225772407901415,-0.023350492332008005,-0.004904432709266778,-0.09733011445766948
623520,87,-0.022905712223051992,-0.01120463568530274,-0.012006376299321643,-0.010899335923730344,0.6297411184107451,-0.028592354932706877,-0.005310534866002717,-0.10556174420730093
691011,109,-0.010303010727283292,-0.008764136810271505,-0.010040541049076692,-0.00026246967820659845,0.6145859587543732,-0.02007890077835061,0.0005654729011825993,-0.08312604025357978
675656,71,-0.002045027349530509,-0.010722579047802223,-0.009981386631974941,0.007936359282444431,0.6613783712481757,-0.011739347646594081,-0.0030382510822036394,-0.0777258046013674
669288,101,-0.0056141904566857775,-0.008432657912160597,-0.009183459405153272,0.003569268948467494,0.5686204887665397,-0.013685594530596715,-0.005986686200247853,-0.09000153583972015
664057,56,-0.02336002826209618,-0.007292838189509785,-0.008380667785256457,-0.014979360476839721,0.5342897535553454,-0.03242913613531685,0.0016241733171742203,-0.09075691285629094
663550,292,-0.017738649116276574,-0.0060083117907721705,-0.008338221800629222,-0.00940042731564735,0.5974662972705826,-0.025521172866816863,-0.003956079995811721,-0.08241012615279233
680837,76,0.000787003362547584,-0.008848192946920434,-0.008232757850527092,0.009019761213074675,0.663784401292893,-0.0044330573414451575,0.00046842457090210353,-0.09178561024844989
644433,114,-0.012018357325460114,-0.00679124662872808,-0.007853788410728979,-0.004164568914731135,0.703594943524062,-0.020030484930249556,-0.003564874200136629,-0.07696612101226054
592348,54,-0.024332089275812645,-0.00550812426573671,-0.0076217725198690954,-0.016710316755943547,0.44813552323437156,-0.02874745690824127,-0.00691857484417407,-0.09914549541725941
666164,72,-0.011624523362892483,-0.005765341853331994,-0.007362850982869952,-0.004261672380022531,0.6947108701582763,-0.02158793282647542,-0.004389254666534039,-0.07545750792719949
666801,62,-0.01204634335070185,-0.005939557117027793,-0.006798081011986994,-0.005248262338714857,0.5706861433551195,-0.025424504966995533,-0.0009972170789008603,-0.0820676234982413
500871,276,-0.01094686769316548,-0.005039609529852733,-0.00679331030629602,-0.0041535573868694605,0.6359142892451028,-0.0249130392014524,-0.003359995214190749,-0.07380596652027409
693049,367,-0.010756886364401636,-0.004788526284030175,-0.006711519606066035,-0.004045366758335601,0.646272431107644,-0.02298564351444773,-0.004243869634843912,-0.07651089560390857
682848,426,-0.006264856025135544,-0.005467269077981456,-0.006642909317678587,0.0003780532925430438,0.6365318296823895,-0.01594536400908728,-0.003460290123666228,-0.09583957483159397
592325,162,-0.01485532312291075,-0.004843739543847972,-0.006559614579518547,-0.008295708543392203,0.6431695945046259,-0.022159833805895146,-0.004870756041693386,-0.10612982157043016
641856,204,-0.020154149419499875,-0.00465499405896228,-0.006290958586018581,-0.013863190833481295,0.5557368164263237,-0.02801403250955741,-0.0003521014184922151,-0.09595003572823761
514888,2556,-0.007177151251839554,-0.005222733916723618,-0.006274760056994665,-0.0009023911948448884,0.6517215956431192,-0.019485636687543044,-0.0025108854066880756,-0.07188699205897145
671655,83,-0.01058183044238453,-0.005638604344152948,-0.006089186498095425,-0.004492643944289105,0.6668141288606009,-0.02731430350542653,-0.0035177875001196385,-0.0775349397195752
671286,199,-0.012200785563436152,-0.0033573235098690686,-0.00578636791771752,-0.0064144176457186335,0.7151743195993632,-0.02339664350564409,-0.006775556149116838,-0.08094778717312011
666906,270,-0.021509282304079804,-0.004112652872242037,-0.005738991959513424,-0.01577029034456638,0.5463011659250134,-0.0317032975048381,-0.0033271708674228245,-0.07992017676589726
672569,213,-0.0059985395147288305,-0.004331100201963531,-0.005651779721415861,-0.0003467597933129697,0.6918766277314472,-0.015832220342302188,-0.0015632625799549724,-0.08309585726496471
686765,316,-0.013720867736929676,-0.003939169010744227,-0.005650491397570592,-0.008070376339359087,0.5532110690253672,-0.021056541368645557,-0.0009367951115750817,-0.09946480691268336
678877,713,-0.010506994436024666,-0.004132655368438753,-0.005580618341916375,-0.00492637609410829,0.627755797172259,-0.021899858405919036,-0.0009003991794071743,-0.06982590887140104
607054,256,-0.0169413225034522,-0.002574237230467679,-0.005572900083449985,-0.011368422420002213,0.5717590605617282,-0.02382725235331559,-0.004125995911617879,-0.09521333128071899
665923,353,-0.01020030401203259,-0.002764732699669402,-0.00541098552927511,-0.0047893184827574806,0.6769051394952543,-0.01891842033863291,-0.0012068821973346205,-0.08748487512519647
677588,675,-0.011696982728661555,-0.004222215994852848,-0.005354585285064937,-0.006342397443596618,0.674492288929722,-0.02222864182882069,-0.0024592472230172417,-0.08738457542284252
686527,1121,-0.004326635226515614,-0.004394680035420908,-0.005262917446955073,0.0009362822204394594,0.6567993326841242,-0.015122422908408421,-0.0032307061354920536,-0.08173268645446262
665782,52,-0.0050680360043865455,-0.004586056419134255,-0.005119991275544119,5.195527115757319e-05,0.6881304797176511,-0.019843737287660982,-0.0033968139067908224,-0.07462333284020001
547180,2813,-0.011455069765573363,-0.003170958883651883,-0.005066344747024597,-0.006388725018548765,0.6685589218246156,-0.02348456015797035,-0.003954015130917563,-0.07953186130224776
543257,563,-0.004993302549035524,-0.003275337915042446,-0.005011788811488949,1.848626245342429e-05,0.6262585580913608,-0.011327155538033989,-0.0025720771685128893,-0.10961801232156643
641820,66,-0.0013887386260655918,-0.005683530290636705,-0.005005797409692739,0.003617058783627148,0.729440986661806,-0.010479678100787366,-0.004869808204775922,-0.08124494673004162
571466,186,-0.007127174479031903,-0.0033803596906215724,-0.004908531419246254,-0.002218643059785649,0.606567578756875,-0.015691689684135184,-0.002813224950987478,-0.09329715400852144
692216,243,-0.016450201790681785,-0.0015658417268004875,-0.004710610422343474,-0.011739591368338312,0.5679147885858413,-0.023706210868426503,-0.003804721986871001,-0.09104830304524307
