balls,strikes,expected_run_value,n_pitches,rv_vs_avg
0,0,0.0001849810078570204,365151,0.006642410075074654
0,1,-0.04026669653411637,185263,-0.03380926746689873
0,2,-0.09452512227656737,96707,-0.08806769320934973
1,0,0.03565530443914498,137121,0.04211273350636262
1,1,-0.014592006993006997,143000,-0.008134577925789364
1,2,-0.07296210512771023,139887,-0.0665046760604926
2,0,0.09905977904894983,45802,0.10551720811616747
2,1,0.036847075395577196,73121,0.04330450446279483
2,2,-0.03549222444754868,118834,-0.029034795380331047
3,0,0.21034482265446225,13984,0.21680225172167988
3,1,0.14377711246403962,29894,0.15023454153125726
3,2,0.06285760265288208,71771,0.06931503172009972
