metric,sh_r,yoy_23_24_r,yoy_24_25_r
disruption_tax,0.8598642761849011,0.5622922194416339,0.6177905085165771
distortion_tax,0.5970749750751888,0.3546156623269814,0.4743408830277968
selection_tax,0.8577086402709866,0.5668751115478923,0.6026482634969872
