metric,sh_r,sh_icc,yoy_23_24_r,yoy_23_24_icc,yoy_24_25_r,yoy_24_25_icc
disruption_tax,0.8422419053338177,0.7274340451071447,0.6092858193796062,0.6069903748659901,0.6077558570158531,0.6029593899272819
adjusted_disruption_tax,0.7486219310681058,0.5982655178577478,0.5348491397036755,0.5324481656161715,0.5000529675875041,0.49362888332011257
distortion_tax,0.89273921752364,0.8062147936568391,0.659219629441752,0.6585921733684341,0.6583026465452593,0.655141853486997
selection_tax,0.7149417768310972,0.5562707689351779,0.39173079670888333,0.38906910571159303,0.4876166628009214,0.48610760147627274
